DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,gafgyt,KNN,10,10,0.7933,0.6929,0.8661,0.7117,1688,73994
Danmini_Doorbell,gafgyt,RFR,10,10,0.996,0.9883,0.9949,0.9916,329,1127
Danmini_Doorbell,gafgyt,DTR,10,10,0.9783,0.9764,0.9294,0.9512,6818,1139
Danmini_Doorbell,gafgyt,ADB,10,10,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,KNN,50,50,0.9937,0.9964,0.9767,0.9862,2310,0
Danmini_Doorbell,gafgyt,RFR,50,50,0.9967,0.9899,0.9962,0.993,223,983
Danmini_Doorbell,gafgyt,DTR,50,50,0.9902,0.974,0.9848,0.9793,1120,2466
Danmini_Doorbell,gafgyt,ADB,50,50,0.9902,0.974,0.9848,0.9793,1120,2466
Danmini_Doorbell,gafgyt,KNN,100,100,0.9935,0.9963,0.976,0.9859,2370,0
Danmini_Doorbell,gafgyt,RFR,100,100,0.9963,0.9883,0.9961,0.9922,202,1148
Danmini_Doorbell,gafgyt,DTR,100,100,0.9914,0.9766,0.9873,0.9819,906,2232
Danmini_Doorbell,gafgyt,ADB,100,100,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,KNN,500,500,0.9946,0.9875,0.9893,0.9884,877,1096
Danmini_Doorbell,gafgyt,RFR,500,500,0.9967,0.9882,0.998,0.993,12,1181
Danmini_Doorbell,gafgyt,DTR,500,500,0.9994,0.9979,0.9996,0.9988,7,204
Danmini_Doorbell,gafgyt,ADB,500,500,0.9994,0.9979,0.9996,0.9988,7,204
Danmini_Doorbell,gafgyt,KNN,1000,1000,0.9957,0.9886,0.993,0.9908,514,1037
Danmini_Doorbell,gafgyt,RFR,1000,1000,0.9995,0.9983,0.9996,0.9989,12,168
Danmini_Doorbell,gafgyt,DTR,1000,1000,0.9997,0.9988,0.9998,0.9993,7,111
Danmini_Doorbell,gafgyt,ADB,1000,1000,0.9996,0.9987,0.9997,0.9992,8,124
Danmini_Doorbell,gafgyt,KNN,5000,5000,0.9969,0.9894,0.997,0.9932,130,938
Danmini_Doorbell,gafgyt,RFR,5000,5000,0.9997,0.9988,0.9998,0.9993,2,110
Danmini_Doorbell,gafgyt,DTR,5000,5000,0.9997,0.999,0.9998,0.9994,3,93
Danmini_Doorbell,gafgyt,ADB,5000,5000,0.9998,0.999,0.9999,0.9995,0,85
