DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,mirai,ADB,500,38,0.9999,0.999,0.9999,0.9995,0,101
Danmini_Doorbell,mirai,KNN,1000,76,0.9966,0.9945,0.9794,0.9868,2005,376
Danmini_Doorbell,mirai,RFR,1000,76,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,1000,76,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,ADB,1000,76,0.9999,0.999,0.9999,0.9995,0,100
Danmini_Doorbell,mirai,KNN,5000,380,0.9969,0.9942,0.9824,0.9882,1693,428
Danmini_Doorbell,mirai,RFR,5000,380,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,5000,380,0.9999,0.9993,0.9999,0.9996,0,66
Danmini_Doorbell,mirai,ADB,5000,380,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,KNN,10000,760,0.9971,0.9958,0.9826,0.9891,1679,266
Danmini_Doorbell,mirai,RFR,10000,760,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,10000,760,0.9999,0.9995,0.9999,0.9997,8,53
Danmini_Doorbell,mirai,ADB,10000,760,0.9999,0.9995,0.9999,0.9997,8,53
Danmini_Doorbell,mirai,KNN,50000,3799,0.9974,0.9947,0.9888,0.9918,987,381
Danmini_Doorbell,mirai,RFR,50000,3799,1.0,0.9998,1.0,0.9999,0,17
Danmini_Doorbell,mirai,DTR,50000,3799,1.0,0.9998,0.9999,0.9999,9,15
Danmini_Doorbell,mirai,ADB,50000,3799,1.0,1.0,0.9998,0.9999,21,0
Danmini_Doorbell,mirai,KNN,100000,7598,0.9972,0.9933,0.9923,0.9928,586,488
Danmini_Doorbell,mirai,RFR,100000,7598,1.0,0.9999,1.0,1.0,0,6
Danmini_Doorbell,mirai,DTR,100000,7598,1.0,0.9999,1.0,1.0,0,6
Danmini_Doorbell,mirai,ADB,100000,7598,1.0,0.9999,1.0,1.0,0,6
Danmini_Doorbell,mirai,KNN,200000,15196,0.9971,0.9956,0.9936,0.9946,399,228
Danmini_Doorbell,mirai,RFR,200000,15196,1.0,0.9999,0.9999,0.9999,6,4
Danmini_Doorbell,mirai,DTR,200000,15196,0.9999,1.0,0.9998,0.9999,11,0
Danmini_Doorbell,mirai,ADB,200000,15196,0.9999,0.9999,0.9999,0.9999,7,4
Ecobee_Thermostat,gafgyt,KNN,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,RFR,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,DTR,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,ADB,10,0,0.9595,0.4797,0.5,0.4897,13113,0
Ecobee_Thermostat,gafgyt,KNN,50,2,0.9595,0.4797,0.5,0.4897,13111,0
Ecobee_Thermostat,gafgyt,RFR,50,2,0.9834,0.9865,0.7987,0.8684,5274,81
Ecobee_Thermostat,gafgyt,DTR,50,2,0.9863,0.976,0.8435,0.8981,4091,327
Ecobee_Thermostat,gafgyt,ADB,50,2,0.978,0.9841,0.7313,0.8097,7044,59
Ecobee_Thermostat,gafgyt,KNN,100,4,0.9985,0.9992,0.9809,0.9899,500,0
Ecobee_Thermostat,gafgyt,RFR,100,4,0.9959,0.9933,0.9542,0.9729,1195,116
Ecobee_Thermostat,gafgyt,DTR,100,4,0.9875,0.9203,0.9188,0.9196,2045,1995
Ecobee_Thermostat,gafgyt,ADB,100,4,0.9971,0.9941,0.9679,0.9806,837,114
Ecobee_Thermostat,gafgyt,KNN,500,21,0.9984,0.9992,0.9803,0.9896,515,0
Ecobee_Thermostat,gafgyt,RFR,500,21,0.9992,0.9926,0.9972,0.9949,64,194
Ecobee_Thermostat,gafgyt,DTR,500,21,0.9986,0.9942,0.9872,0.9907,329,137
Ecobee_Thermostat,gafgyt,ADB,500,21,0.9993,0.995,0.9966,0.9958,84,127
Ecobee_Thermostat,gafgyt,KNN,1000,42,0.9984,0.9992,0.9802,0.9895,517,0
Ecobee_Thermostat,gafgyt,RFR,1000,42,0.9988,0.9949,0.9892,0.992,278,119
