BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
gafgyt,KNN,0.9991429244845048,0.9992805385313892,0.9975857699196621,0.9984308452395763,866,94
gafgyt,RFR,0.9999982144260093,0.9999967364730491,0.9999967364730491,0.9999967364730491,1,1
gafgyt,DTR,0.9999857154080751,0.9999870687836563,0.9999607145230884,0.999973891096299,14,2
gafgyt,ADB,0.9999750019641314,0.9999543106226862,0.9999543106226862,0.9999543106226862,14,14
mirai,KNN,0.9960268872468873,0.9928081384171855,0.9871625190895552,0.9899636840391911,3710,1709
mirai,RFR,0.9999978004542796,0.9999901900514041,0.9999987613695949,0.9999944756616144,0,3
mirai,DTR,0.9999978004542796,0.9999901900514041,0.9999987613695949,0.9999944756616144,0,3
mirai,ADB,0.9999992668180931,0.9999967299743631,0.9999995871231984,0.9999981585433488,0,1

